STATE,STATEFP,PLACEFP,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,COUNTIES
AL,1,100,2582661,Abanda CDP,CENSUS DESIGNATED PLACE,U1,S,Chambers County
AL,1,124,2403054,Abbeville city,INCORPORATED PLACE,C1,A,Henry County
AL,1,460,2403063,Adamsville city,INCORPORATED PLACE,C1,A,Jefferson County
AL,1,484,2405123,Addison town,INCORPORATED PLACE,C1,A,Winston County
AL,1,676,2405125,Akron town,INCORPORATED PLACE,C1,A,Hale County
AL,1,820,2403069,Alabaster city,INCORPORATED PLACE,C1,A,Shelby County
AL,1,988,2403074,Albertville city,INCORPORATED PLACE,C1,A,Marshall County
AL,1,1132,2403077,Alexander City city,INCORPORATED PLACE,C1,A,Tallapoosa County
AL,1,1180,2402638,Alexandria CDP,CENSUS DESIGNATED PLACE,U1,S,Calhoun County
AL,1,1228,2403080,Aliceville city,INCORPORATED PLACE,C1,A,Pickens County
AL,1,1396,2405136,Allgood town,INCORPORATED PLACE,C1,A,Blount County
AL,1,1660,2405146,Altoona town,INCORPORATED PLACE,C1,A,Blount County~~~Etowah County
AL,1,1708,2403097,Andalusia city,INCORPORATED PLACE,C1,A,Covington County
AL,1,1756,2405149,Anderson town,INCORPORATED PLACE,C1,A,Lauderdale County
AL,1,1852,2403101,Anniston city,INCORPORATED PLACE,C1,A,Calhoun County
AL,1,2116,2403104,Arab city,INCORPORATED PLACE,C1,A,Cullman County~~~Marshall County
AL,1,2260,2405163,Ardmore town,INCORPORATED PLACE,C1,A,Limestone County
AL,1,2320,2405164,Argo town,INCORPORATED PLACE,C1,A,Jefferson County~~~St. Clair County
AL,1,2428,2405166,Ariton town,INCORPORATED PLACE,C1,A,Dale County
AL,1,2500,2405167,Arley town,INCORPORATED PLACE,C1,A,Winston County
AL,1,2836,2405172,Ashford town,INCORPORATED PLACE,C1,A,Houston County
AL,1,2860,2405173,Ashland town,INCORPORATED PLACE,C1,A,Clay County
AL,1,2908,2403122,Ashville city,INCORPORATED PLACE,C1,A,St. Clair County
AL,1,2956,2403123,Athens city,INCORPORATED PLACE,C1,A,Limestone County
AL,1,3004,2403129,Atmore city,INCORPORATED PLACE,C1,A,Escambia County
AL,1,3028,2403130,Attalla city,INCORPORATED PLACE,C1,A,Etowah County
AL,1,3076,2403132,Auburn city,INCORPORATED PLACE,C1,A,Lee County
AL,1,3220,2405187,Autaugaville town,INCORPORATED PLACE,C1,A,Autauga County
AL,1,3364,2405191,Avon town,INCORPORATED PLACE,C1,A,Houston County
AL,1,3508,2628577,Axis CDP,CENSUS DESIGNATED PLACE,U1,S,Mobile County
AL,1,3556,2405195,Babbie town,INCORPORATED PLACE,C1,A,Covington County
AL,1,3676,2405198,Baileyton town,INCORPORATED PLACE,C1,A,Cullman County
AL,1,3724,2405200,Bakerhill town,INCORPORATED PLACE,C1,A,Barbour County
AL,1,3820,2582662,Ballplay CDP,CENSUS DESIGNATED PLACE,U1,S,Etowah County
AL,1,3940,2405206,Banks town,INCORPORATED PLACE,C1,A,Pike County
AL,1,4660,2403825,Bay Minette city,INCORPORATED PLACE,C1,A,Baldwin County
AL,1,4684,2403828,Bayou La Batre city,INCORPORATED PLACE,C1,A,Mobile County
AL,1,4852,2405219,Bear Creek town,INCORPORATED PLACE,C1,A,Marion County
AL,1,4900,2405221,Beatrice town,INCORPORATED PLACE,C1,A,Monroe County
AL,1,4948,2405225,Beaverton town,INCORPORATED PLACE,C1,A,Lamar County
AL,1,5140,2628578,Belgreen CDP,CENSUS DESIGNATED PLACE,U1,S,Franklin County
AL,1,5164,2405230,Belk town,INCORPORATED PLACE,C1,A,Fayette County
AL,1,5188,2628579,Bellamy CDP,CENSUS DESIGNATED PLACE,U1,S,Sumter County
AL,1,5212,2632282,Belle Fontaine CDP,CENSUS DESIGNATED PLACE,U2,S,Mobile County
AL,1,5692,2405243,Benton town,INCORPORATED PLACE,C1,A,Lowndes County
AL,1,5812,2797102,Berlin town,INCORPORATED PLACE,C1,A,Cullman County
AL,1,5932,2405250,Berry town,INCORPORATED PLACE,C1,A,Fayette County
AL,1,5980,2403864,Bessemer city,INCORPORATED PLACE,C1,A,Jefferson County
AL,1,6460,2405265,Billingsley town,INCORPORATED PLACE,C1,A,Autauga County
AL,1,7000,2403868,Birmingham city,INCORPORATED PLACE,C1,A,Jefferson County~~~Shelby County
AL,1,7120,2405270,Black town,INCORPORATED PLACE,C1,A,Geneva County
AL,1,7456,2405280,Blountsville town,INCORPORATED PLACE,C1,A,Blount County
AL,1,7588,2402696,Blue Ridge CDP,CENSUS DESIGNATED PLACE,U1,S,Elmore County
AL,1,7672,2405286,Blue Springs town,INCORPORATED PLACE,C1,A,Barbour County
AL,1,7912,2403886,Boaz city,INCORPORATED PLACE,C1,A,Etowah County~~~Marshall County
AL,1,8104,2405297,Boligee town,INCORPORATED PLACE,C1,A,Greene County
AL,1,8248,2405301,Bon Air town,INCORPORATED PLACE,C1,A,Talladega County
AL,1,8272,2633314,Bon Secour CDP,CENSUS DESIGNATED PLACE,U1,S,Baldwin County
AL,1,8680,2628580,Boykin CDP,CENSUS DESIGNATED PLACE,U1,S,Wilcox County
AL,1,9016,2405315,Brantley town,INCORPORATED PLACE,C1,A,Crenshaw County
AL,1,9064,2582663,Brantleyville CDP,CENSUS DESIGNATED PLACE,U1,S,Shelby County
AL,1,9136,2403918,Brent city,INCORPORATED PLACE,C1,A,Bibb County
AL,1,9208,2403921,Brewton city,INCORPORATED PLACE,C1,A,Escambia County
AL,1,9328,2403924,Bridgeport city,INCORPORATED PLACE,C1,A,Jackson County
AL,1,9400,2403925,Brighton city,INCORPORATED PLACE,C1,A,Jefferson County
AL,1,9424,2405321,Brilliant town,INCORPORATED PLACE,C1,A,Marion County
AL,1,9457,2582664,Bristow Cove CDP,CENSUS DESIGNATED PLACE,U2,S,Etowah County
AL,1,9500,2403203,Brook Highland CDP,CENSUS DESIGNATED PLACE,U1,S,Shelby County
AL,1,9736,2405331,Brookside town,INCORPORATED PLACE,C1,A,Jefferson County
AL,1,9808,2405333,Brookwood town,INCORPORATED PLACE,C1,A,Tuscaloosa County
AL,1,9880,2582666,Broomtown CDP,CENSUS DESIGNATED PLACE,U1,S,Cherokee County
AL,1,10240,2403943,Brundidge city,INCORPORATED PLACE,C1,A,Pike County
AL,1,10456,2628581,Bucks CDP,CENSUS DESIGNATED PLACE,U1,S,Mobile County
AL,1,11032,2405351,Butler town,INCORPORATED PLACE,C1,A,Choctaw County
AL,1,11416,2403965,Calera city,INCORPORATED PLACE,C1,A,Chilton County~~~Shelby County
AL,1,11488,2628582,Calvert CDP,CENSUS DESIGNATED PLACE,U1,S,Mobile County~~~Washington County
AL,1,11512,2403975,Camden city,INCORPORATED PLACE,C1,A,Wilcox County
