RANK,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,Type,UID,Population Sum,% of Population,Total
1,50,6,37,0,0,0,0,A,Los Angeles County,California,10014042,9992236,9811842,9721138,County,Los Angeles County_California_10014042_9992236_9811842_9721138,9721138,2.95%,3095
2,50,17,31,0,0,0,0,A,Cook County,Illinois,5275522,5261249,5177606,5109292,County,Cook County_Illinois_5275522_5261249_5177606_5109292,14830430,4.50%,
3,50,48,201,0,0,0,0,A,Harris County,Texas,4731129,4734505,4735287,4780913,County,Harris County_Texas_4731129_4734505_4735287_4780913,19611343,5.95%,
4,50,4,13,0,0,0,0,A,Maricopa County,Arizona,4420574,4440232,4494693,4551524,County,Maricopa County_Arizona_4420574_4440232_4494693_4551524,24162867,7.33%,
5,50,6,73,0,0,0,0,A,San Diego County,California,3298635,3296045,3274954,3276208,County,San Diego County_California_3298635_3296045_3274954_3276208,27439075,8.32%,
6,50,6,59,0,0,0,0,A,Orange County,California,3186979,3185516,3161005,3151184,County,Orange County_California_3186979_3185516_3161005_3151184,30590259,9.28%,
7,50,12,86,0,0,0,0,A,Miami-Dade County,Florida,2701762,2695501,2670421,2673837,County,Miami-Dade County_Florida_2701762_2695501_2670421_2673837,33264096,10.09%,
8,50,48,113,0,0,0,0,A,Dallas County,Texas,2611491,2609966,2587954,2600840,County,Dallas County_Texas_2611491_2609966_2587954_2600840,35864936,10.88%,
9,50,36,47,0,0,0,0,C,Kings County,New York,2736075,2719044,2637486,2590516,County,Kings County_New York_2736075_2719044_2637486_2590516,38455452,11.66%,
10,50,6,65,0,0,0,0,A,Riverside County,California,2418177,2422847,2453178,2473902,County,Riverside County_California_2418177_2422847_2453178_2473902,40929354,12.41%,
11,50,32,3,0,0,0,0,A,Clark County,Nevada,2265469,2274734,2295194,2322985,County,Clark County_Nevada_2265469_2274734_2295194_2322985,43252339,13.12%,
12,50,36,81,0,0,0,0,C,Queens County,New York,2405464,2388586,2328141,2278029,County,Queens County_New York_2405464_2388586_2328141_2278029,45530368,13.81%,
13,50,53,33,0,0,0,0,A,King County,Washington,2269667,2274094,2253038,2266789,County,King County_Washington_2269667_2274094_2253038_2266789,47797157,14.49%,
14,50,6,71,0,0,0,0,A,San Bernardino County,California,2181662,2183239,2192882,2193656,County,San Bernardino County_California_2181662_2183239_2192882_2193656,49990813,15.16%,
15,50,48,439,0,0,0,0,A,Tarrant County,Texas,2110608,2115682,2129402,2154595,County,Tarrant County_Texas_2110608_2115682_2129402_2154595,52145408,15.81%,
16,50,48,29,0,0,0,0,A,Bexar County,Texas,2009322,2015369,2030895,2059530,County,Bexar County_Texas_2009322_2015369_2030895_2059530,54204938,16.44%,
17,50,12,11,0,0,0,0,A,Broward County,Florida,1944376,1943266,1935729,1947026,County,Broward County_Florida_1944376_1943266_1935729_1947026,56151964,17.03%,
18,50,6,85,0,0,0,0,A,Santa Clara County,California,1936274,1931026,1886595,1870945,County,Santa Clara County_California_1936274_1931026_1886595_1870945,58022909,17.60%,
19,50,26,163,0,0,0,0,A,Wayne County,Michigan,1793549,1789129,1773073,1757043,County,Wayne County_Michigan_1793549_1789129_1773073_1757043,59779952,18.13%,
20,50,6,1,0,0,0,0,A,Alameda County,California,1682331,1680380,1643837,1628997,County,Alameda County_California_1682331_1680380_1643837_1628997,61408949,18.62%,
